,owner,opponent,owner_wins,opp_wins,owner_pts,opp_pts
0,Owen,Kevin,15,13,4380.05,4136.25
1,Owen,Nickolai,15,8,3620.91,3147.6
2,Owen,John,12,10,3212.52,3144.78
3,Owen,Peter,15,5,3185.15,2748.96
4,Owen,Zeyad,16,8,3949.07,3511.37
5,Owen,Ryan,18,8,4025.62,3873.18
6,Owen,Jake,14,7,3271.63,2998.39
7,Kevin,Owen,13,15,4136.25,4380.05
8,Kevin,John,19,6,3907.16,3255.17
9,Kevin,Zeyad,8,12,3053.78,3029.29
10,Kevin,Jake,11,16,3855.65,3956.13
11,Kevin,Nickolai,12,11,3116.12,3413.71
12,Kevin,Peter,10,10,2918.03,2983.32
13,Kevin,Ryan,9,12,3057.25,3292.62
14,Nickolai,Jake,13,13,3844.77,3821.39
15,Nickolai,Owen,8,15,3147.6,3620.91
16,Nickolai,Peter,15,8,3353.11,3139.8
17,Nickolai,Ryan,7,15,3158.2599999999998,3416.97
18,Nickolai,Kevin,11,12,3413.71,3116.12
19,Nickolai,John,17,8,3761.75,3162.25
20,Nickolai,Zeyad,8,14,3047.06,3190.8
21,John,Ryan,10,15,3373.32,3696.32
22,John,Kevin,6,19,3255.17,3907.16
23,John,Owen,10,12,3144.78,3212.52
24,John,Zeyad,8,15,3047.41,3301.55
25,John,Jake,7,13,2631.97,2919.05
26,John,Nickolai,8,17,3162.25,3761.75
27,John,Peter,6,18,2953.59,3277.61
28,Peter,Zeyad,10,18,3975.16,4219.0199999999995
29,Peter,Jake,9,15,3285.86,4066.09
30,Peter,Nickolai,8,15,3139.8,3353.11
31,Peter,Owen,5,15,2748.96,3185.15
32,Peter,Ryan,14,11,3664.38,3568.78
33,Peter,Kevin,10,10,2983.32,2918.03
34,Peter,John,18,6,3277.61,2953.59
35,Zeyad,Peter,18,10,4219.0199999999995,3975.16
36,Zeyad,Ryan,6,17,3334.3,3731.64
37,Zeyad,Kevin,12,8,3029.29,3053.78
38,Zeyad,John,15,8,3301.55,3047.41
39,Zeyad,Owen,8,16,3511.37,3949.07
40,Zeyad,Jake,13,11,3668.5,3503.21
41,Zeyad,Nickolai,14,8,3190.8,3047.06
42,Ryan,John,15,10,3696.32,3373.32
43,Ryan,Zeyad,17,6,3731.64,3334.3
44,Ryan,Jake,12,10,3224.32,3026.4
45,Ryan,Nickolai,15,7,3416.97,3158.2599999999998
46,Ryan,Peter,11,14,3568.78,3664.38
47,Ryan,Owen,8,18,3873.18,4025.62
48,Ryan,Kevin,12,9,3292.62,3057.25
49,Jake,Nickolai,13,13,3821.39,3844.77
50,Jake,Peter,15,9,4066.09,3285.86
51,Jake,Ryan,10,12,3026.4,3224.32
52,Jake,Kevin,16,11,3956.13,3855.65
53,Jake,John,13,7,2919.05,2631.97
54,Jake,Zeyad,11,13,3503.21,3668.5
55,Jake,Owen,7,14,2998.39,3271.63
