,season,owner,avg_wins,avg_losses,avg_pts_for,avg_pts_against,avg_reg_szn_rank,avg_final_rank,win_percentage,total_championships
0,2015,Jake,4.0,12.0,2152.36,2600.01,8.0,8.0,0.25,0
1,2015,John,10.0,6.0,2490.73,2280.98,2.0,2.0,0.625,0
2,2015,Kevin,9.0,7.0,2326.34,2334.68,3.0,3.0,0.5625,0
3,2015,Nickolai,7.0,9.0,2299.09,2325.15,4.0,4.0,0.4375,0
4,2015,Owen,14.0,2.0,2751.85,2372.0,1.0,1.0,0.875,1
5,2015,Peter,7.0,9.0,2334.53,2379.37,5.0,6.0,0.4375,0
6,2015,Ryan,7.0,9.0,2362.8,2346.23,7.0,5.0,0.4375,0
7,2015,Zeyad,6.0,10.0,2393.88,2473.16,6.0,7.0,0.375,0
8,2016,Jake,7.0,9.0,2537.9,2276.58,6.0,7.0,0.4375,0
9,2016,John,5.0,11.0,2024.75,2270.38,8.0,6.0,0.3125,0
10,2016,Kevin,7.0,9.0,2320.46,2326.69,7.0,5.0,0.4375,0
11,2016,Nickolai,11.0,5.0,2445.71,2373.06,1.0,2.0,0.6875,0
12,2016,Owen,9.0,7.0,2351.86,2239.9,4.0,3.0,0.5625,1
13,2016,Peter,6.0,10.0,2229.22,2696.0,5.0,8.0,0.375,0
14,2016,Ryan,10.0,6.0,2490.83,2324.32,3.0,1.0,0.625,1
15,2016,Zeyad,9.0,7.0,2402.8,2296.6,2.0,4.0,0.5625,0
16,2017,Jake,8.0,8.0,2060.86,2217.01,2.0,4.0,0.5,0
17,2017,John,5.0,11.0,1991.31,2183.68,8.0,5.0,0.3125,0
18,2017,Kevin,8.0,8.0,2286.07,2171.52,3.0,2.0,0.5,0
19,2017,Nickolai,7.0,9.0,2106.69,2125.31,5.0,7.0,0.4375,0
20,2017,Owen,16.0,0.0,2750.83,2026.94,1.0,1.0,1.0,2
21,2017,Peter,6.0,10.0,2144.03,2388.97,7.0,6.0,0.375,0
22,2017,Ryan,8.0,8.0,2134.81,2119.4,4.0,3.0,0.5,1
23,2017,Zeyad,6.0,10.0,2155.46,2397.23,6.0,8.0,0.375,0
24,2018,Jake,8.0,8.0,2139.67,2350.3,6.0,5.0,0.5,0
25,2018,John,4.0,12.0,2062.85,2583.94,8.0,8.0,0.25,0
26,2018,Kevin,10.0,6.0,2502.69,2334.33,2.0,3.0,0.625,0
27,2018,Nickolai,9.0,7.0,2556.91,2273.24,1.0,4.0,0.5625,0
28,2018,Owen,11.0,5.0,2655.15,2398.14,3.0,1.0,0.6875,3
29,2018,Peter,8.0,8.0,2453.54,2463.97,5.0,6.0,0.5,0
30,2018,Ryan,8.0,8.0,2575.11,2465.27,4.0,2.0,0.5,1
31,2018,Zeyad,6.0,10.0,2332.62,2409.35,7.0,7.0,0.375,0
32,2019,Jake,9.0,7.0,2607.49,2359.19,2.0,3.0,0.5625,0
33,2019,John,5.0,11.0,2197.44,2408.37,8.0,8.0,0.3125,0
