,season,teamName,week,team,opponent,result,owner,opponent_owner
0,2015,Cream Team,1,1,Quiggle On Your Face,150.20 - 171.90 Loss,Owen,Kevin
1,2015,Cream Team,2,1,Baby Get In Mah Belly,158.57 - 146.90 Win,Owen,nickolai
2,2015,Cream Team,3,1,Chub Chub,225.87 - 195.07 Win,Owen,John
3,2015,Cream Team,4,1,Mini Me I Love you Mini Me,156.87 - 138.93 Win,Owen,Peter
4,2015,Cream Team,5,1,Tushek,188.23 - 156.13 Win,Owen,zeyad
5,2015,Cream Team,6,1,The Pissed Beanbags,189.30 - 160.50 Win,Owen,Ryan
6,2015,Cream Team,7,1,im gonna fiddle your diddle,180.07 - 149.50 Win,Owen,Jake
7,2015,Cream Team,8,1,Quiggle On Your Face,189.13 - 149.23 Win,Owen,Kevin
8,2015,Cream Team,9,1,Baby Get In Mah Belly,175.93 - 135.47 Win,Owen,nickolai
9,2015,Cream Team,10,1,Chub Chub,175.07 - 145.30 Win,Owen,John
10,2015,Cream Team,11,1,Mini Me I Love you Mini Me,124.27 - 144.53 Loss,Owen,Peter
11,2015,Cream Team,12,1,Tushek,162.37 - 139.50 Win,Owen,zeyad
12,2015,Cream Team,13,1,The Pissed Beanbags,190.60 - 190.07 Win,Owen,Ryan
13,2015,Cream Team,14,1,im gonna fiddle your diddle,165.07 - 117.63 Win,Owen,Jake
14,2015,Cream Team,15,1,Baby Get In Mah Belly,190.20 - 116.67 Win,Owen,nickolai
15,2015,Cream Team,16,1,Chub Chub,130.10 - 114.67 Win,Owen,John
16,2015,Quiggle On Your Face,1,2,Cream Team,171.90 - 150.20 Win,Kevin,Owen
17,2015,Quiggle On Your Face,2,2,Chub Chub,121.47 - 168.03 Loss,Kevin,John
18,2015,Quiggle On Your Face,3,2,Tushek,186.90 - 125.90 Win,Kevin,zeyad
19,2015,Quiggle On Your Face,4,2,im gonna fiddle your diddle,132.93 - 139.90 Loss,Kevin,Jake
20,2015,Quiggle On Your Face,5,2,Baby Get In Mah Belly,118.27 - 181.43 Loss,Kevin,nickolai
21,2015,Quiggle On Your Face,6,2,Mini Me I Love you Mini Me,180.20 - 146.80 Win,Kevin,Peter
22,2015,Quiggle On Your Face,7,2,The Pissed Beanbags,137.07 - 180.90 Loss,Kevin,Ryan
23,2015,Quiggle On Your Face,8,2,Cream Team,149.23 - 189.13 Loss,Kevin,Owen
24,2015,Quiggle On Your Face,9,2,Chub Chub,137.40 - 158.50 Loss,Kevin,John
25,2015,Quiggle On Your Face,10,2,Tushek,143.50 - 135.43 Win,Kevin,zeyad
26,2015,Quiggle On Your Face,11,2,im gonna fiddle your diddle,141.23 - 68.77 Win,Kevin,Jake
27,2015,Quiggle On Your Face,12,2,Baby Get In Mah Belly,165.57 - 145.43 Win,Kevin,nickolai
28,2015,Quiggle On Your Face,13,2,Mini Me I Love you Mini Me,124.37 - 121.20 Win,Kevin,Peter
29,2015,Quiggle On Your Face,14,2,The Pissed Beanbags,117.63 - 116.53 Win,Kevin,Ryan
30,2015,Quiggle On Your Face,15,2,Chub Chub,134.30 - 146.90 Loss,Kevin,John
31,2015,Quiggle On Your Face,16,2,Baby Get In Mah Belly,164.37 - 159.63 Win,Kevin,nickolai
32,2015,Baby Get In Mah Belly,1,3,im gonna fiddle your diddle,139.27 - 93.87 Win,nickolai,Jake
33,2015,Baby Get In Mah Belly,2,3,Cream Team,146.90 - 158.57 Loss,nickolai,Owen
34,2015,Baby Get In Mah Belly,3,3,Mini Me I Love you Mini Me,164.80 - 154.50 Win,nickolai,Peter
35,2015,Baby Get In Mah Belly,4,3,The Pissed Beanbags,162.77 - 128.00 Win,nickolai,Ryan
36,2015,Baby Get In Mah Belly,5,3,Quiggle On Your Face,181.43 - 118.27 Win,nickolai,Kevin
37,2015,Baby Get In Mah Belly,6,3,Chub Chub,130.93 - 143.17 Loss,nickolai,John
38,2015,Baby Get In Mah Belly,7,3,Tushek,161.60 - 129.43 Win,nickolai,zeyad
39,2015,Baby Get In Mah Belly,8,3,im gonna fiddle your diddle,159.77 - 113.90 Win,nickolai,Jake
40,2015,Baby Get In Mah Belly,9,3,Cream Team,135.47 - 175.93 Loss,nickolai,Owen
41,2015,Baby Get In Mah Belly,10,3,Mini Me I Love you Mini Me,160.93 - 122.57 Win,nickolai,Peter
42,2015,Baby Get In Mah Belly,11,3,The Pissed Beanbags,119.63 - 141.70 Loss,nickolai,Ryan
43,2015,Baby Get In Mah Belly,12,3,Quiggle On Your Face,145.43 - 165.57 Loss,nickolai,Kevin
44,2015,Baby Get In Mah Belly,13,3,Chub Chub,95.43 - 155.40 Loss,nickolai,John
45,2015,Baby Get In Mah Belly,14,3,Tushek,118.43 - 169.70 Loss,nickolai,zeyad
46,2015,Baby Get In Mah Belly,15,3,Cream Team,116.67 - 190.20 Loss,nickolai,Owen
